metric_id,domain,metric_name,unit,frequency,source_ids,calculation,comparability_status,notes
matched_application_to_completion_median_days,permitting_timelines,Matched application-to-completion median,days,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,median elapsed calendar days among deterministic exact-ID matches with chronological dates,matched_subset_not_population_estimate,Sample size 1757. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
matched_application_to_entitlement_median_days,permitting_timelines,Matched application-to-entitlement median,days,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,median elapsed calendar days among deterministic exact-ID matches with chronological dates,matched_subset_not_population_estimate,Sample size 4315. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
matched_entitlement_to_permit_median_days,permitting_timelines,Matched entitlement-to-permit median,days,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,median elapsed calendar days among deterministic exact-ID matches with chronological dates,matched_subset_not_population_estimate,Sample size 1352. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
matched_permit_to_completion_median_days,permitting_timelines,Matched permit-to-completion median,days,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,median elapsed calendar days among deterministic exact-ID matches with chronological dates,matched_subset_not_population_estimate,Sample size 1674. Exact jurisdiction + tracking-ID matches are used first; exact jurisdiction + APN matches are used second. No address or fuzzy matching.
mixed_use_share_of_mapped_zoning_pct,zoning_and_rezoning,Mixed-use category as share of mapped area,percent,irregular compiled inventory,CA_LCI_STATEWIDE_ZONING,county sum of dataset-provided polygon area and transparent category shares,single_compiled_inventory_not_current_policy_score,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
multifamily_share_of_residential_zoning_pct,zoning_and_rezoning,Multi-family category as share of residential-labeled mapped area,percent,irregular compiled inventory,CA_LCI_STATEWIDE_ZONING,county sum of dataset-provided polygon area and transparent category shares,single_compiled_inventory_not_current_policy_score,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
reported_rezone_acres,zoning_and_rezoning,Reported Table C parcel area,acres,annual administrative reporting,CA_HCD_APR_TABLE_C,county sum of HCD APR Table C records,conditional_reporting_universe,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
reported_rezone_lower_income_capacity,zoning_and_rezoning,Reported lower-income capacity on Table C sites,housing units,annual administrative reporting,CA_HCD_APR_TABLE_C,county sum of HCD APR Table C records,conditional_reporting_universe,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
reported_rezone_realistic_capacity,zoning_and_rezoning,Reported realistic capacity on Table C sites,housing units,annual administrative reporting,CA_HCD_APR_TABLE_C,county sum of HCD APR Table C records,conditional_reporting_universe,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
reported_rezone_site_records,zoning_and_rezoning,Reported Table C site records,records,annual administrative reporting,CA_HCD_APR_TABLE_C,county sum of HCD APR Table C records,conditional_reporting_universe,"Table C is required only for specified shortfall, unaccommodated-need, or no-net-loss circumstances. Zero records do not mean no rezoning occurred."
residential_labeled_zoning_area_sq_km,zoning_and_rezoning,Residential-labeled mapped zoning area,square kilometers,irregular compiled inventory,CA_LCI_STATEWIDE_ZONING,county sum of dataset-provided polygon area and transparent category shares,single_compiled_inventory_not_current_policy_score,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
rhna_allocation_units,rhna_delivery,Sixth-cycle RHNA allocation,housing units,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,published allocation or sum of annual HCD APR Table A2 units,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_completed_units,rhna_delivery,"Cumulative completed units, 2023–2025",housing units,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,published allocation or sum of annual HCD APR Table A2 units,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_completion_gap_units,rhna_delivery,Allocation less cumulative completions,housing units,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_completion_progress_pct,rhna_delivery,Completion count as share of sixth-cycle RHNA,percent,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_completion_to_permit_flow_pct,rhna_delivery,Cumulative completions as share of cumulative permits,percent,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,published allocation or sum of annual HCD APR Table A2 units,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_permit_gap_units,rhna_delivery,Allocation less cumulative permits,housing units,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_permit_progress_pct,rhna_delivery,Permit progress toward sixth-cycle RHNA,percent,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,sum of 2023–2025 HCD APR units compared with full sixth-cycle allocation,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
rhna_permitted_units,rhna_delivery,"Cumulative building-permit units, 2023–2025",housing units,planning-cycle progress snapshot,CA_HCD_RHNA;CA_HCD_APR_TABLE_A2,published allocation or sum of annual HCD APR Table A2 units,planning_target_and_administrative_flows,"California tracks RHNA progress using issued building permits. Completion comparisons are supplemental descriptive evidence, not official RHNA credit."
sb35_application_records,housing_applications,Application records submitted under SB 35,records,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,comparable_within_series,HCD APR application-stage administrative data aggregated to county.
timeline_match_rate_pct,permitting_timelines,Timeline match rate among projects with usable identifiers,percent,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,matched projects / application project keys with a usable exact tracking ID or APN * 100,coverage_diagnostic,Coverage is published with the medians; unmatched records are not imputed.
